author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
ANNA LIZ NICHOLS Associated Press/Report for America,"Michigan governor closes indoor bars, allows to-go cocktails","Michigan Gov. Gretchen Whitmer is closing indoor seating in bars in parts of the state, including a city with a bar that has been linked to a rising number of infections",https://abcnews.go.com/Health/wireStory/michigan-governor-closes-indoor-bars-cocktails-71569172,https://s.abcnews.com/images/US/WireAP_e6fe41c4238c48d68b7309d4e8884aba_16x9_992.jpg,2020-07-02T01:51:33Z,"LANSING, Mich -- 
Michigan Gov. Gretchen Whitmer said Wednesday that she was closing indoor seating in bars in parts of the state, including a college town where one brewpub has been linked to about… [+3671 chars]",abc-news,ABC News
The Associated Press,Three arraigned in restraint death of Black teen in Michigan,Three former Michigan youth center staff members charged in the death of a Black teenager who was restrained after throwing a sandwich have been arraigned,https://abcnews.go.com/US/wireStory/arraigned-restraint-death-black-teen-michigan-71569082,null,2020-07-02T01:50:17Z,"KALAMAZOO, Mich. -- 
Three former Michigan youth center staff members charged in the death of a Black teenager who was restrained after throwing a sandwich have been arraigned.
Michael Mosley of Ba… [+1848 chars]",abc-news,ABC News
LARRY NEUMEISTER Associated Press,Novartis pays $678M to resolve suit over sham doctor outings,Federal authorities say Novartis Pharmaceutical Corp. will pay $678 million to the U.S. government and various states to settle a lawsuit over a sham speaker program to induce doctors to prescribe its products,https://abcnews.go.com/US/wireStory/novartis-pays-678m-resolve-suit-sham-doctor-outings-71569171,null,2020-07-02T01:50:02Z,"NEW YORK -- 
Novartis Pharmaceutical Corp. will pay $678 million to the U.S. government and various states to settle a lawsuit over a sham speaker program that distributed cash, expensive dinners an… [+2214 chars]",abc-news,ABC News
The Associated Press,Police: 24 dead in attack on drug rehab center in Mexico,"Police say gunmen burst into an unregistered drug rehabilitation center in Mexico and opened fire, killing 24 people and wounding seven",https://abcnews.go.com/International/wireStory/police-24-dead-attack-drug-rehab-center-mexico-71569169,null,2020-07-02T01:44:47Z,"MEXICO CITY -- 
Gunmen burst into an unregistered drug rehabilitation center in Mexico and opened fire Wednesday, killing 24 people and wounding seven. 
Police in the north-central state of Guanaju… [+470 chars]",abc-news,ABC News
The Associated Press,"Mexican authorities say gunmen burst into a drug rehab center and opened fire, killing 24 people and wounding seven","Mexican authorities say gunmen burst into a drug rehab center and opened fire, killing 24 people and wounding seven",https://abcnews.go.com/International/wireStory/mexican-authorities-gunmen-burst-drug-rehab-center-opened-71569164,null,2020-07-02T01:43:15Z,"MEXICO CITY -- 
Mexican authorities say gunmen burst into a drug rehab center and opened fire, killing 24 people and wounding seven.",abc-news,ABC News
Will Steakin,"Trump campaign, RNC raise record-breaking $131 million in June",The Trump campaign and Republican National Committee announced on Wednesday they'd brought in a whopping and record breaking $266 million in the second quarter.,https://abcnews.go.com/Politics/trump-campaign-rnc-raised-record-breaking-131-million/story?id=71567418,https://s.abcnews.com/images/US/trump-gty-as-200620_hpMain_16x9_992.jpg,2020-07-02T01:35:02Z,"The Donald Trump campaign and Republican National Committee announced on Wednesday they had brought in a whopping, record-breaking $266 million in the second quarter of the 2020 election year, and no… [+2255 chars]",abc-news,ABC News
EMILY WAGSTER PETTUS Associated Press,"Mississippi bans abortion based on race, sex, genetic issues","Mississippi Republican Gov. Tate Reeves has signed a law banning abortion based on the race, sex or genetic anomalies of a fetus",https://abcnews.go.com/Health/wireStory/mississippi-bans-abortion-based-race-sex-genetic-issues-71569004,https://s.abcnews.com/images/Health/WireAP_222c923ecfa240209678ea909f97c65b_16x9_992.jpg,2020-07-02T01:25:22Z,"JACKSON, Miss. -- 
Mississippi Republican Gov. Tate Reeves signed a law Wednesday that bans abortion based on the race, sex or genetic anomalies of a fetus, adding new limits in a state that already… [+2854 chars]",abc-news,ABC News
MARIA VERZA Associated Press,"Mexico reopening uneven, as virus cases continue high","Mexico City's reopening is varying widely, with some people wearing face masks and keeping their distance, while others jostle in crowded streets",https://abcnews.go.com/International/wireStory/mexico-reopening-uneven-virus-cases-continue-high-71568698,https://s.abcnews.com/images/International/WireAP_8e4e7f0aa3b342758290f692b13af21b_16x9_992.jpg,2020-07-02T01:15:48Z,"MEXICO CITY -- 
Mexico Citys reopening varied widely Wednesday, with some people wearing face masks and keeping their distance while others jostled in crowded streets. 
The limited reopening of res… [+3168 chars]",abc-news,ABC News
NICK PERRY Associated Press,New Zealand's health minister resigns after virus blunders,New Zealand’s health minister has resigned following a series of personal blunders during the coronavirus pandemic,https://abcnews.go.com/Health/wireStory/zealands-health-minister-resigns-virus-blunders-71568392,https://s.abcnews.com/images/Health/WireAP_f163f94c6fc04331ad8489e05a56d639_16x9_992.jpg,2020-07-02T01:02:20Z,"WELLINGTON, New Zealand -- 
New Zealand's health minister resigned Thursday following a series of personal blunders during the coronavirus pandemic.
David Clark had earlier described himself as an … [+3048 chars]",abc-news,ABC News
LARRY NEUMEISTER Associated Press,Appeals court lifts restraint against Trump book publisher,A New York appeals court has cleared the way for a publisher to distribute a tell-all book by President Donald Trump's niece over the objections of the president's brother,https://abcnews.go.com/US/wireStory/appeals-court-lifts-restraint-trump-book-publisher-71568292,https://s.abcnews.com/images/Entertainment/WireAP_7387dcb2ef234f63ad8999e5ebadd2e0_16x9_992.jpg,2020-07-02T00:59:32Z,"NEW YORK -- 
A New York appeals court cleared the way Wednesday for a publisher to distribute a tell-all book by President Donald Trumps niece over the objections of the presidents brother.
The New… [+2178 chars]",abc-news,ABC News
