author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
By DAVE SKRETTA AP Sports Writer,Chiefs lean on D to beat Pats 26-10 in COVID-19-delayed game,"KANSAS CITY, Mo. (AP) — Tyreek Hill and Mecole Hardman had short touchdown catches, the Kansas City defense shut down a Patriots offense missing quarterback Cam Newton and running back Sony Michel, and the Chiefs beat New England 26-10 Monday…",https://apnews.com/3a26ba8b66024129d5db91b492786db2,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/8/5f/85f17ef8-5e84-5e7a-81f8-8c5333aeaddd/5f7bd359d0cf3.image.jpg?crop=1760%2C990%2C0%2C93&resize=1120%2C630&order=crop%2Cresize,2020-10-06T01:58:39Z,"Brian Hoyer, who has now lost 11 straight starts for three different teams, was 15 of 24 for 130 yards and an interception before getting benched. Jarrett Stidham led the Patriots to a touchdown to c… [+1179 chars]",associated-press,Associated Press
The Associated Press,Business Highlights - Associated Press,"___ Stocks jump on stimulus hopes, Trump’s hospital departure NEW YORK (AP) — Stocks closed broadly higher Monday as hopes for economic aid from Washington helped Wall Street recover...",https://apnews.com/article/virus-outbreak-donald-trump-technology-global-trade-financial-markets-c6e4e49e26724e38f381c1b4bf6d54fd,https://apnews.com/images/ShareLogo2.png,2020-10-06T01:58:34Z,"___
Stocks jump on stimulus hopes, Trumps hospital departure
NEW YORK (AP) Stocks closed broadly higher Monday as hopes for economic aid from Washington helped Wall Street recover its losses from i… [+5470 chars]",associated-press,Associated Press
By ZEKE MILLER Associated Press,White House nixes tougher FDA guidelines on vaccine approval,WASHINGTON (AP) — The White House has blocked new Food and Drug Administration guidelines on bringing potential vaccines for COVID-19 to market that would almost certainly have prevented their approval before the Nov. 3 election.,https://apnews.com/efdb363953cc5e2d64028b60baabdc90,https://bloximages.newyork1.vip.townnews.com/roanoke.com/content/tncms/assets/v3/editorial/7/69/769b6dd5-92f7-58b2-a2a2-90f97eb7b7a3/5f7bd0783837e.image.jpg?crop=1763%2C992%2C0%2C91&resize=1120%2C630&order=crop%2Cresize,2020-10-06T01:53:38Z,"FILE - This Aug. 2, 2018, file photo shows the U.S. Food and Drug Administration building behind FDA logos at a bus stop on the agency's campus in Silver Spring, Md. In a report to Congress and an ac… [+1955 chars]",associated-press,Associated Press
By JOE REEDY AP Sports Writer,Houston's young bullpen quickly maturing during postseason,"LOS ANGELES (AP) — Without the likes of Justin Verlander and Gerrit Cole, the Houston Astros need someone on staff to step up this October.",https://apnews.com/037d5b8531309932cac01ce4ef6ea566,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/7/e7/7e77ab30-a0ee-5e24-adcf-8c62abbe64e2/5f7bd3a2c4a7f.image.jpg?crop=1764%2C992%2C0%2C91&resize=1120%2C630&order=crop%2Cresize,2020-10-06T01:35:12Z,"It has been a different story though in the three postseason games. The group hasn't allowed a run in 14 2/3 innings, limiting opponents to 3 for 43. Against Oakland, four pitchers allowed no hits an… [+1143 chars]",associated-press,Associated Press
By DAVID BRANDT AP Sports Writer,Cardinals humbled but not hopeless after 2 straight losses,All that optimism surrounding the Arizona Cardinals following two straight wins to start the season has evaporated in a hurry.,https://apnews.com/a827a4cdfcae4ef5eecd8b99cef55f03,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/7/e4/7e4ac3cc-dfea-53ad-9713-19f617d958f6/5f7a34ed094f6.image.jpg?crop=1763%2C992%2C0%2C92&resize=1120%2C630&order=crop%2Cresize,2020-10-06T01:09:59Z,"All that optimism surrounding the Arizona Cardinals following two straight wins to start the season has evaporated in a hurry.
The Cardinals are 2-2 after falling 31-21 to the Carolina Panthers on S… [+1144 chars]",associated-press,Associated Press
By DAVID EGGERT Associated Press,"Michigan health agency issues mask, other virus restrictions","LANSING, Mich. (AP) — Michigan's health department issued a mask requirement and other coronavirus restrictions Monday, just days after the state Supreme Court invalidated a 75-year-old emergency powers law that underpinned Gov. Gretchen Whitmer's orders to c…",https://apnews.com/67e2a457dfc2a3bf97ac7c9749eaf168,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/0/6d/06dcabc4-0f07-5456-8c32-2454d560d7bc/5f7bcc5dc63a5.image.jpg?crop=1763%2C992%2C0%2C91&resize=1120%2C630&order=crop%2Cresize,2020-10-06T01:05:17Z,"Shirkey told The Associated Press there is no way businesses, nonprofits and schools would want to put people at risk. Based on seven months of daily learnings, I think everybody's pretty well prepar… [+1286 chars]",associated-press,Associated Press
,Texas family seeks answers after officer killed unarmed man,"WOLFE CITY, Texas (AP) — A family demanded answers Monday after an unarmed man was shot and killed by a police officer at a convenience store in a small East Texas town.",https://apnews.com/cc88172eed6697d23cdf08baadae9099,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/custom/image/4ce82390-59b2-11e6-a3c5-b77ec6e8d16d.png?resize=600%2C517,2020-10-06T01:04:53Z,"He deserves justice because he (Price) was a human citizen who was not breaking the law and he was gunned down by police officers, Merritt said. He said the family deserves to know every detail of wh… [+1144 chars]",associated-press,Associated Press
By KRISTIE RIEKEN AP Sports Writer,Marlins look for more playoff success against Braves in NLDS,HOUSTON (AP) — The Miami Marlins have been the biggest surprise of the postseason so far.,https://apnews.com/15821c0422d1befa03f8049020d8db95,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/8/bd/8bdf6351-c70b-5620-a51a-3cbaf0220a89/5f7b89a9778af.image.jpg?crop=1763%2C992%2C0%2C91&resize=1120%2C630&order=crop%2Cresize,2020-10-06T01:04:08Z,"He fired up the wrong people Ill tell you that and were going to run with that, Miami rookie outfielder Monte Harrison said. So, if you want to talk trash on us, talk trash on us. Its perfectly fine.… [+1022 chars]",associated-press,Associated Press
ap news,CDC says CAN spread indoors in updated guidance...,"NEW YORK (AP) —  The top U.S. public health agency said Monday that the coronavirus can spread more than 6 feet through the air, especially in poorly ventilated and enclosed spaces. But...",https://apnews.com/article/virus-outbreak-public-health-archive-1dbf42718788808adc3d36ee6c1b3fe8,https://storage.googleapis.com/afs-prod/media/a940d2ef5c8d4a089061639ade2e00fb/2510.jpeg,2020-10-06T01:00:14Z,"CDC says coronavirus can spread indoors in updated guidance
NEW YORK (AP) —
The top U.S. public health agency said Monday that the coronavirus can spread more than 6 feet through the air, especially … [+3708 chars]",associated-press,Associated Press
By BRETT MARTEL AP Sports Writer,Saints' offense gets back to Payton-Brees era norm,"NEW ORLEANS (AP) — Without two top receiving targets, the Saints' offense managed to produce the way it often has for the past decade and a half since coach Sean Payton and quarterback Drew Brees joined forces in New Orleans.",https://apnews.com/33eff252fcb5658a0a0c8135bea255c3,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/e/88/e88c0c12-5fba-5c24-9740-d78739e74062/5f7a3b7cda569.image.jpg?crop=1763%2C992%2C0%2C91&resize=1120%2C630&order=crop%2Cresize,2020-10-06T00:52:39Z,"And they spread the wealth; four of their five touchdowns were scored by players not named Alvin Kamara or Michael Thomas. Thomas, a two-time All-Pro receiver, did not play because of an ankle injury… [+1063 chars]",associated-press,Associated Press
