author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
"Amir Vera and Hollie Silverman, CNN",Colorado residents asked to make evacuation plans as the Calwood Fire breaks out,The Calwood wildfire started around noon Saturday north of Jamestown.,https://www.cnn.com/2020/10/17/us/colorado-calwood-fire-evacuation/index.html,https://cdn.cnn.com/cnnnext/dam/assets/201017205009-01-calwood-fire-1017-super-tease.jpg,2020-10-18T01:13:55Z,,cnn,CNN
"Analysis by Joshua Berlinger, CNN",Tears don't mean Kim Jong Un is softening. Just look at his military hardware,"On October 10, Kim Jong Un -- North Korea's notorious dictator --  became one of the few world leaders to publicly shed tears while apologizing to his people for the hardships they've had to endure this year.",https://www.cnn.com/2020/10/17/asia/north-korea-kim-jong-un-parade-intl-hnk/index.html,https://cdn.cnn.com/cnnnext/dam/assets/201010072404-01-north-korea-military-parade-1010-screengrab-super-tease.jpg,2020-10-18T00:25:31Z,"(CNN)On October 10, Kim Jong Un -- North Korea's notorious dictator -- became one of the few world leaders to publicly shed tears while apologizing to his people for the hardships they've had to endu… [+7101 chars]",cnn,CNN
,What's next for the US-North Korea relationship?,"Following North Korea's unveiling of a huge new missile at a military parade celebrating the 75th anniversary of the Workers' Party, CNN's Paula Hancocks looks at what these developments mean for the US.",https://www.cnn.com/videos/world/2020/10/16/north-korea-kim-jong-un-military-parade-missile-hancocks-pkg-intl-ldn-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/201016124611-north-korea-kim-jong-un-military-parade-missile-hancocks-pkg-intl-ldn-vpx-00001030-super-tease.jpg,2020-10-18T00:23:22Z,,cnn,CNN
"Amir Vera and Jacob Lev, CNN",University of Florida head football coach tests positive for Covid-19,Dan Mullen's positive test comes after Florida was forced to postpone their game against Louisiana State University initially scheduled for Saturday.,https://www.cnn.com/2020/10/17/us/university-of-florida-head-football-coach-covid-19-trnd-spt/index.html,https://cdn.cnn.com/cnnnext/dam/assets/201017183128-dan-mullen-1003-file-super-tease.jpg,2020-10-18T00:02:15Z,,cnn,CNN
"Jeremy Diamond and Paul LeBlanc, CNN",Trump coronavirus adviser Scott Atlas undermines importance of masks as cases spike,White House coronavirus task force member Dr. Scott Atlas sought to undermine the importance of face masks on Saturday as coronavirus cases spike across the US.,https://www.cnn.com/2020/10/17/politics/scott-atlas-face-masks-coronavirus/index.html,https://cdn.cnn.com/cnnnext/dam/assets/170925081333-scott-atlas-headshot-new-super-tease.jpeg,2020-10-18T02:47:22Z,,cnn,CNN
,You can now rent a private AMC theater for just $99,,https://www.cnn.com/collections/intl-coronavirus-new-world-10182020/,,2020-10-18T02:08:46Z,,cnn,CNN
"Giulia Heyward and Douglas S. Wood, CNN",A French bulldog is wearing a different Halloween costume every day this month,"There's a dog in Texas dazzling more than 13,000 followers on Instagram with his Halloween costumes.",https://www.cnn.com/2020/10/18/us/french-bulldog-halloween-trnd/index.html,https://cdn.cnn.com/cnnnext/dam/assets/201016155905-01-french-bulldog-super-tease.jpg,2020-10-18T05:00:21Z,,cnn,CNN
Kevin Dotson,Tampa Bay Rays are headed to the World Series after winning the American League pennant,The Tampa Bay Rays won Game 7 of the American League Championship series to clinch the American League crown and advance to the World Series.,https://www.cnn.com/2020/10/18/us/mlb-tampa-bay-rays-american-league-pennant-spt-trnd/index.html,https://cdn.cnn.com/cnnnext/dam/assets/201018002849-04-tampa-bay-rays-1017-super-tease.jpg,2020-10-18T04:51:38Z,,cnn,CNN
"Analysis by Maeve Reston, CNN",Analysis: Trump continues bizarre appeals to suburban women as he campaigns in Covid hotspots,"If President Donald Trump loses his reelection bid in November, it will be in part because of his fundamental misunderstanding of the beliefs of ""suburban women,"" whom he has tried to win back with a series of bizarre and racist appeals that seem more targete…",https://www.cnn.com/2020/10/18/politics/donald-trump-women-gretchen-whitmer/index.html,https://cdn.cnn.com/cnnnext/dam/assets/201017212456-05-donald-trump-1017-wisconsin-super-tease.jpg,2020-10-18T04:30:00Z,"(CNN)If President Donald Trump loses his reelection bid in November, it will be in part because of his fundamental misunderstanding of the beliefs of ""suburban women,"" whom he has tried to win back w… [+8275 chars]",cnn,CNN
,10 US states reported their highest number of new coronavirus cases on Friday,,https://www.cnn.com/collections/intl-covid-us-10182020/,,2020-10-18T04:28:54Z,,cnn,CNN
