author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Andrew Miller,Political world reacts to Orrin Hatch's death: 'A truly great man',Reactions are pouring in across the United States to the death of longtime United States Republican Senator Orrin Hatch who was the longest serving senator in Utah history.,https://www.foxnews.com/politics/political-world-reacts-orrin-hatch-death,https://static.foxnews.com/foxnews.com/content/uploads/2018/09/8e73888d-hatch.jpg,2022-04-24T01:38:21Z,"Reactions to the death of longtime United States Republican Senator Orrin Hatch, who was the longest serving senator in Utah history, poured in on Saturday night.
""Sad to learn of the passing of my … [+1876 chars]",fox-news,Fox News
Andrew Miller,"Orrin Hatch, longtime Utah Republican senator, dead at 88","Former Utah Republican Senator Orrin Hatch has died at the age of 88, according to a release from his foundation.",https://www.foxnews.com/politics/longtime-utah-republican-senator-orrin-hatch-dead-at-88,https://static.foxnews.com/foxnews.com/content/uploads/2018/09/Orrin20Hatch20AP20FBN.jpg,2022-04-24T00:45:17Z,"Former Utah Republican Senator Orrin Hatch has died at the age of 88, according to a release from his foundation. 
""The Hatch Foundation sadly announces the passing of Senator Orrin G. Hatchthe form… [+1734 chars]",fox-news,Fox News
Andrew Miller,Taylor Lorenz old tweets 'excluded' from Internet Archive amid Libs of TikTok doxxing backlash,"The Internet Archive, a free online archive of all publicly available information on the internet, is facing criticism for not displaying old tweets from Washington Post reporter Taylor Lorenz who has faced scrutiny for exposing the identity of the creator of…",https://www.foxnews.com/politics/taylor-lorenz-tweets-unavailable-on-internet-archive-amid-libsoftiktok-doxxing-backlash,https://static.foxnews.com/foxnews.com/content/uploads/2022/04/Screen-Shot-2022-04-18-at-7.36.20-PM.png,2022-04-24T00:38:53Z,"The Internet Archive, a free online archive of all publicly available information on the internet, is facing criticism for not displaying old tweets from Washington Post reporter Taylor Lorenz who ha… [+3232 chars]",fox-news,Fox News
Associated Press,"Wildfires merge in New Mexico, threatening rural villages","In Arizona and New Mexico, over a dozen fires are destroying homes and covering 174 square miles",https://www.foxnews.com/us/wildfires-merge-new-mexico-threatening-rural-villages,https://static.foxnews.com/foxnews.com/content/uploads/2022/04/842accac-AP22110842679211.jpg,2022-04-24T00:22:55Z,"Maggie Mulligan said her dogs could sense the panic while she and her husband packed them up, agonized over having to leave horses behind and fled a fast-moving wildfire barreling toward their home i… [+7210 chars]",fox-news,Fox News
Andrew Miller,Orsolya Gaal’s alleged killer David Bonola hit NYC Chipotle before arrest,The 44-year-old handyman and lover of Queens Mom Orsolya Gaal stopped at Chipotle hours before being arrested for her grisly murder.,https://www.foxnews.com/us/orsolya-gaals-alleged-killer-david-bonola-hit-nyc-chipotle-before-arrest,https://static.foxnews.com/foxnews.com/content/uploads/2022/04/DAVID-BONOLA-WNYW-MUGSHOT.jpg,2022-04-24T00:09:38Z,"The 44-year-old handyman and lover of Queens Mom Orsolya Gaal stopped at Chipotle just hours before his arrest.
David Bonola stopped by the Chipotle location on Austin Street in Queens on Wednesday … [+2278 chars]",fox-news,Fox News
Paulina Dedaj,Stallions' defense sets the tone in 33-28 victory over Gamblers,The Birmingham Stallions capitalized on a number of critical turnovers Saturday night to defeat the Houston Gamblers 33-28 in the USFL’s highest-scoring game of the season.,https://www.foxnews.com/sports/stallions-defense-sets-tone-victory-gamblers,https://static.foxnews.com/foxnews.com/content/uploads/2022/04/GettyImages-1393223531.jpg,2022-04-24T03:54:22Z,"The Birmingham Stallions capitalized on a number of critical turnovers Saturday night to defeat the Houston Gamblers 33-28 in the USFLs
 highest-scoring game of the season. 
Quarterback JMar Smith,… [+2390 chars]",fox-news,Fox News
Fox News Staff,Cybersecurity expert cautions 'Pegasus' spyware that has ignited a privacy debate,"Cybersecurity expert Morgan Wright called the citizen surveillance technology, ""Pegasus"" spyware, ""worrisome.""",https://www.foxnews.com/media/cybersecurity-expert-cautions-pegasus-spyware-ignited-privacy-debate,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/29d3a6d1-0aac-4819-8e1d-ed932315d999/587cb8d7-1bf5-4b0d-b4e4-46ed9dff0aa9/1280x720/match/image.jpg,2022-04-24T03:44:27Z,"Cybersecurity expert Morgan Wright detailed the intent and capabilities of the spyware and citizen surveillance technology ""Pegasus,"" calling it ""worrisome"" on Saturday's ""Unfiltered with Dan Bongino… [+1485 chars]",fox-news,Fox News
Lawrence Richard,Sexual misconduct conviction reached in first-ever Air Force trial of major general,"An Air Force major general accused of three sexual misconduct charges was convicted on one charge in Ohio Saturday, the first-ever conviction of a general in the branch's history.",https://www.foxnews.com/us/sexual-misconduct-conviction-first-ever-air-force-trial-major-general,https://static.foxnews.com/foxnews.com/content/uploads/2022/04/Maj_Gen_William_Cooley.jpg,2022-04-24T03:30:08Z,"An Air Force major general accused of three sexual misconduct charges was convicted on one charge in Ohio Saturday, the first-ever conviction of a general in the branch's history.
Maj. Gen. William … [+1912 chars]",fox-news,Fox News
Fox News Staff,"White Democrats 'not listening' to Black Americans, 'have become the hero of the criminal': Lawrence Jones",“Cross Country” host Lawrence Jones sounded the alarm on skyrocketing crime nationwide in Saturday's opening monologue.,https://www.foxnews.com/media/white-democrats-not-listening-black-americans-have-become-hero-criminal-lawrence-jones,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/9d6a75fa-e483-4869-ae23-f88e6689751e/084e9f04-4e42-426c-8dee-dc0575bc5001/1280x720/match/image.jpg,2022-04-24T03:21:28Z,"""Cross Country"" host Lawrence Jones distanced Black Americans from the ""defund the police"" movement in the opening monologue of Saturday's show.
LAWRENCE JONES: Are we disposable? Do our lives not m… [+1555 chars]",fox-news,Fox News
Fox News Staff,New book shares the 'key' to happiness as you age and enter your 'second act',Author Arthur Brooks shares with 'One Nation' that he recommends mentors and instructors for people as they age.,https://www.foxnews.com/media/author-arthur-brooks-shares-the-key-to-happiness-as-you-age,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/5ef2d13b-2b96-4662-b419-569948764354/8f3ca6df-7207-43bc-b517-de3ca6a7ed75/1280x720/match/image.jpg,2022-04-24T03:09:50Z,"Social scientist and professor Arthur Brooks joined One Nation with Brian Kilmeade to discuss his new book on finding success and happiness in the second half of life.
ARTHUR BROOKS: Look, this book… [+948 chars]",fox-news,Fox News
Fox News Staff,"Bongino: The Left's mask mandates are not about safety, they're about power","Dan Bongino slammed mask mandates Saturday on “Unfiltered,” saying the policy only exists to protect the Left's power.",https://www.foxnews.com/media/bongino-left-mask-mandates-safety-power,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/0563aa70-530f-45a5-9d91-a7923d5fea82/24088929-413b-46b2-8442-fec16defd847/1280x720/match/image.jpg,2022-04-24T02:52:22Z,"Dan Bongino slammed mask mandates Saturday on ""Unfiltered,"" saying the policy only exists to protect the Left's power.
DAN BONGINO: Remember the tragic New York City subway shooting last week? Dozen… [+2127 chars]",fox-news,Fox News
