author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
NBCNews.com,Nightly News Full Broadcast (April 19th),"More protests to reopen the U.S. as governors call for increased testing, Governor Cuomo says New York is on the other side of its coronavirus plateau, and European countries look to ease restrictions.",https://www.nbcnews.com/nightly-news/video/nightly-news-full-broadcast-april-19th-82275909715,https://media11.s-nbcnews.com/j/MSNBC/Components/Video/202004/protesters-for-nightly.nbcnews-fp-1200-630.jpg,2020-04-20T00:32:32Z,,nbc-news,NBC News
NBCNews.com,Federal officials announce new rules ‘requiring nursing homes’ to report COVID-19 cases,"Centers for Medicare and Medicaid Services administrator Seema Verma, announced new transparency measures for nursing homes requiring the disclosure of coronavirus cases to families of patients and public health officials.",https://www.nbcnews.com/video/federal-officials-announce-new-rules-requiring-nursing-homes-to-report-covid-19-cases-82276933974,https://media14.s-nbcnews.com/j/MSNBC/Components/Video/202004/fedofficialsnursingh.nbcnews-fp-1200-630.jpg,2020-04-20T02:57:34Z,,nbc-news,NBC News
Laura Strickler and Tim Stelloh and Kelly O'Donnell,Federal officials announce new coronavirus rules for nursing homes to boost transparency,The federal agency that oversees nursing homes announced new transparency measures on Sunday requiring the disclosure of coronavirus cases to families of patients and public health officials.,https://www.nbcnews.com/news/us-news/federal-officials-announce-new-coronavirus-rules-nursing-homes-boost-transparency-n1187526,https://media2.s-nbcnews.com/j/newscms/2020_07/3230216/200213-_seema-verma-2017-ac-941p_1f99a9e8bc4235b4381e0c0efcfccc50.nbcnews-fp-1200-630.jpg,2020-04-20T02:45:54Z,"The federal agency that oversees nursing homes announced new transparency measures on Sunday requiring the disclosure of coronavirus cases to families of patients and public health officials.
Speaking during a White House briefing, Centers for Medicare and M… [+1195 chars]",nbc-news,NBC News
Stephanie Ruhle and Alex Johnson,Shake Shack returning $10 million government loan meant for small businesses,"Shake Shack, one of several big companies that are reported to have gotten money meant to prop up small businesses, says it's giving the money back.",https://www.nbcnews.com/news/us-news/shake-shack-returning-10-million-government-loan-meant-small-businesses-n1187541,https://media1.s-nbcnews.com/j/newscms/2020_17/3314821/200420-shake-shack-rd-1201a_b8708bb3806cc3ddcac0808f592d6a8d.nbcnews-fp-1200-630.jpg,2020-04-20T04:18:31Z,"Shake Shack, one of several large restaurant chains that got federal loans through the coronavirus stimulus law meant to help small businesses, said Sunday night that it is giving all $10 million back.
The New York-based hipster-favorite burger company is am… [+1284 chars]",nbc-news,NBC News
Nbc News,"Coronavirus live updates: U.S. death toll passes 40,000","The coronavirus death toll in the U.S. passed 40,000 late Sunday and governors pushed back on the Trump administration's claims of ""sufficient"" testing.",https://www.nbcnews.com/health/health-news/live-blog/2020-04-20-coronavirus-news-n1187556,https://media3.s-nbcnews.com/j/newscms/2020_16/3314011/200419-coronavirus-live-blog-social-only_f86d9e43c50ee3218868f27c358998ac.nbcnews-fp-1200-630.jpg,2020-04-20T07:59:07Z,"UNICEF seeks more aid for at-risk kids in the Middle East
The U.N. childrens agency appealed Monday for an additional $92.4 million to help fight the coronavirus pandemic in the Middle East and North Africa, a conflict-battered region with the highest number… [+3446 chars]",nbc-news,NBC News
Richie Duchon,'The Last Dance' begins: Michael Jordan's career gets long-awaited retelling,"The series was initially scheduled to air in June, but the network moved up its release after fans clamored for it on social media amid the coronavirus pandemic's sports vacuum.",https://www.nbcnews.com/news/sports/last-dance-documentary-series-michael-jordan-s-basketball-career-debuts-n1187551,https://media2.s-nbcnews.com/j/newscms/2020_17/3314826/200420-michael-jordan-last-dance-rd-0209a_1666464cffc34320bc6f132a61f49443.nbcnews-fp-1200-630.jpg,2020-04-20T09:09:00Z,"Basketball fans still smarting from the double injury of Kobe Bryants sudden death and the aborted NBA season were treated Sunday night to an electrifying portrait of Michael Jordan, arguably the games all-time greatest player, in what some argue was his ulti… [+4508 chars]",nbc-news,NBC News
Richie Duchon,'The Last Dance' begins: Michael Jordan's career gets long-awaited retelling,"The series was initially scheduled to air in June, but the network moved up its release after fans clamored for it on social media amid the coronavirus pandemic's sports vacuum.",https://www.nbcnews.com/news/latin-america/last-dance-documentary-series-michael-jordan-s-basketball-career-debuts-n1187551,https://media3.s-nbcnews.com/j/newscms/2020_17/3314946/200420-micheal-pippen-mc-1022_62be96c4307ca3da8f455136127e5139.nbcnews-fp-1200-630.JPG,2020-04-20T09:09:00Z,"Basketball fans still smarting from the aborted NBA season were treated Sunday night to an electrifying portrait of Michael Jordan, arguably the games all-time greatest player, in what some argue was his ultimate performance the Chicago Bulls sixth championsh… [+4342 chars]",nbc-news,NBC News
Dan Grunfeld,My grandmother survived the Holocaust. She's teaching me how to find hope today.,My grandmother spent her early years trying to avoid capture by and death at the hands of the Nazis in Budapest. She shows me where to find hope for the future.,https://www.nbcnews.com/think/opinion/face-coronavirus-pandemic-i-listen-my-grandmother-who-survived-holocaust-ncna1186651,https://media4.s-nbcnews.com/j/newscms/2020_16/3314476/200419-livia-grunfeld-present-cover-cs-1030a_b3b5cec124327309461595bdd7775df1.nbcnews-fp-1200-630.jpg,2020-04-20T08:34:00Z,"When my grandmother was 18 years old, a short letter from her father saved her life. Scribbled hastily in swooping cursive, it read, If you can, stay where you are.
It was the last time she would ever hear from her beloved father. Shortly thereafter, Nazis r… [+6146 chars]",nbc-news,NBC News
NBCNews.com,Watch: Huge reduction in European air traffic during coronavirus pandemic,"Video released by the Eurocontrol organization illustrated a dramatic difference in the number of flights on April 18, 2019 and April 16, 2020.",https://www.nbcnews.com/video/dramatic-drop-in-european-air-traffic-during-covid-19-lockdown-82285125588,https://media13.s-nbcnews.com/j/MSNBC/Components/Video/202004/eurocontrolYT.nbcnews-fp-1200-630.jpg,2020-04-20T11:32:35Z,,nbc-news,NBC News
Luke Denne,UAE pledges 10 million meals for those affected by virus,UAE pledges 10 million meals or food parcels for worst affected by the coronavirus,https://www.nbcnews.com/health/health-news/live-blog/2020-04-20-coronavirus-news-n1187556/ncrd1187636,https://media3.s-nbcnews.com/j/newscms/2020_16/3314011/200419-coronavirus-live-blog-social-only_f86d9e43c50ee3218868f27c358998ac.nbcnews-fp-1200-630.jpg,2020-04-20T11:23:34Z,"The United Arab Emirates pledged to provide 10 million food parcels and meals to communities badly affected by the coronavirus crisis, Vice President Sheikh Mohammed bin Rashid Al Maktoum said on Twitter.
The Gulf state has nearly 7,000 confirmed coronavirus… [+6438 chars]",nbc-news,NBC News
Rebecca Shabad,House members may need to return to D.C. for vote on coronavirus aid this week,Members of the House might need to return to Washington this week to vote on an interim coronavirus package to aid small businesses and hospitals.,https://www.nbcnews.com/health/health-news/live-blog/2020-04-20-coronavirus-news-n1187556/ncrd1187626,https://media3.s-nbcnews.com/j/newscms/2020_16/3314011/200419-coronavirus-live-blog-social-only_f86d9e43c50ee3218868f27c358998ac.nbcnews-fp-1200-630.jpg,2020-04-20T11:00:08Z,"Members of the House might need to return to Washington this week to vote on an interim coronavirus package to aid small businesses and hospitals. 
House Majority Leader Steny Hoyer, D-Md., sent out guidance to lawmakers Sunday saying that the House could me… [+5868 chars]",nbc-news,NBC News
Linda Givetash and Winston Wilde and Kurt Chirbas and Hernan Muñoz Ratto and Vivienne Wu,"Amid protests, Trump says some governors 'have gone too far' on lockdown measures","As the coronavirus death toll tops 40,000 in the United States, protesters are demanding lockdowns be lifted while in Europe, some schools are re-opening.",https://www.nbcnews.com/news/world/coronavirus-trump-says-some-governors-have-gone-too-far-lockdown-n1187596,https://media4.s-nbcnews.com/j/newscms/2020_17/3314941/200420-florida-corona-mc-957_28b8c74adb3b5fc1d399ac620a60665f.nbcnews-fp-1200-630.JPG,2020-04-20T10:42:00Z,"As the coronavirus death toll tops 40,000 in the United States, President Donald Trump said some governors were taking lockdown restrictions too far and expressed support for protesters demanding a return to work.
Trump's criticism of states' handling of the… [+4245 chars]",nbc-news,NBC News
NBCNews.com,"Dogs abandoned in increasing numbers during COVID-19 pandemic, activists say","An animal rights activist in Istanbul, Turkey, said he is caring for around 400 strays as the number of abandoned dogs surged during the coronavirus pandemic.",https://www.nbcnews.com/video/abandoned-dogs-increasing-in-number-during-covid-19-pandemic-activists-say-82282565620,https://media14.s-nbcnews.com/j/MSNBC/Components/Video/202004/Stray_Dogs.nbcnews-fp-1200-630.jpg,2020-04-20T10:13:49Z,,nbc-news,NBC News
Allan Smith,Reality bites: Candidates sidelined by coronavirus try transforming into small-screen stars,"Unable to campaign, politicians are creating podcasts, hosting interviews and streaming live — all in the service of reaching voters during a pandemic.",https://www.nbcnews.com/politics/2020-election/reality-bites-candidates-sidelined-coronavirus-try-transforming-small-screen-stars-n1177261,https://media3.s-nbcnews.com/j/newscms/2020_16/3311421/200416-campaign-entertained-main-cs-1256p_c2892e655cd699c2f9a9a447902d7d71.nbcnews-fp-1200-630.jpg,2020-04-20T10:00:54Z,"Late last month, Rep. Joe Kennedy, D-Mass., went live on Facebook for a lesson from celebrity chef Tiffani Faison.
As Faison, a Boston-based ""Top Chef"" finalist, tried to coach the family through her recipe for soy-cola chicken, Kennedy's wife told their 4-y… [+8151 chars]",nbc-news,NBC News
Kenzi Abou-Sabe and Cynthia McFadden and Christine Romo and Jaime Longoria,Navajo Nation braces for a surge of coronavirus cases,"The Navajo Nation, the largest reservation in the U.S., has a rate of coronavirus infection behind only those of New York and New Jersey, and the worst is yet to come.",https://www.nbcnews.com/health/health-news/coronavirus-batters-navajo-nation-it-s-about-get-worse-n1187501,https://media4.s-nbcnews.com/j/newscms/2020_16/3314656/200419-navajo-stay-home-sign-cs-456p_45d47d91f0899b3ac24836da168e1856.nbcnews-fp-1200-630.jpg,2020-04-20T10:00:06Z,"On March 17, when the Navajo Nation saw its first COVID-19 case, the reservation's limited health facilities sprang into action.
""We basically changed our hospital from an acute care hospital and an ambulatory care clinic to one that could take care of respi… [+7957 chars]",nbc-news,NBC News
