author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
By Daniel E. Slotnik,Why Christmas Tree Sellers Feel Like Lucy at Her Psychiatrist Stand,Vendors in New York say they have seen a rush of customers eager for a sense of comfort in a year of constant turbulence.,https://www.nytimes.com/2020/12/16/nyregion/nyc-christmas-trees.html,https://static01.nyt.com/images/2020/12/14/nyregion/00nyvirus-xmastrees1/00nyvirus-xmastrees1-articleLarge-v2.jpg,2020-12-16T10:00:23+0000,Diana Karvelis spent 15 minutes choosing just the right Christmas tree — a five-footer that cost $65 — at a stand in the East Village on a freezing weekday night.,the-new-york-times,The New York Times
By Jennifer Steinhauer,The pandemic has forced more military families and veterans to seek food assistance.,"This spring, the Y.M.C.A. on Fort Bragg, the largest military base in the United States, saw a 40 percent increase in requests for groceries at its food pantry. During the same period, grocery requests to AmericaServes, a network that helps military families, jumped to the biggest service request in the organization’s history.",https://www.nytimes.com/2020/12/16/world/the-pandemic-has-forced-more-military-families-and-veterans-to-seek-food-assistance.html,https://static01.nyt.com/images/2020/12/16/fashion/weddings/16virus-brief-military/merlin_181056279_6852d777-cafb-47ad-ac8c-696c20f820cf-articleLarge.jpg,2020-12-16T10:02:01+0000,"This spring, the Y.M.C.A. on Fort Bragg, the largest military base in the United States, saw a 40 percent increase in requests for groceries at its food pantry. During the same period, grocery requests to AmericaServes, a network that helps military families, jumped to the biggest service request in the organization’s history.",the-new-york-times,The New York Times
By Maggie Haberman,A Glitch in Trump’s Plan to Live at Mar-a-Lago: A Pact He Signed Says He Can’t,Neighbors of the president say he has violated the 1993 agreement he made with Palm Beach that allowed him to convert a private residence into a moneymaking club.,https://www.nytimes.com/2020/12/16/us/politics/trump-mar-a-lago.html,https://static01.nyt.com/images/2020/12/16/us/politics/16dc-maralago/merlin_173990268_fd2fa0be-7c3e-48aa-b217-631d3e3b138e-articleLarge.jpg,2020-12-16T23:44:47+0000,"President Trump’s neighbors in Florida are seeking to enforce a decades-old compact that says Mar-a-Lago, his private social club, cannot be used as a full-time residence — as Mr. Trump has suggested he plans to do after he leaves the White House.",the-new-york-times,The New York Times
By Isabella Kwai and Daphné Anglès,Death of Detained Ukrainian Causes Uproar in Portugal,The man’s death after what prosecutors called “inhumane treatment” has raised questions about the country’s detention policies and prompted calls for the interior minister to step down.,https://www.nytimes.com/2020/12/16/world/europe/portugal-ukrainian-death.html,https://static01.nyt.com/images/2020/12/16/world/16portugal01/merlin_176861559_5da6ff8a-a1d3-4400-806c-b4047846f865-articleLarge.jpg,2020-12-16T16:54:27+0000,"Arriving in the Lisbon airport without a work visa in March, Ihor Homeniuk, a Ukrainian citizen, was sent to a nearby detention center after refusing to board a flight out of Portugal.",the-new-york-times,The New York Times
By Norimitsu Onishi and Constant Méheut,"Macron, Once a Darling of Liberals, Shows a New Face as Elections Near","A centrist straddling France’s traditional political divide, President Emmanuel Macron now chases voters on the right and has alienated some supporters and members of his own party.",https://www.nytimes.com/2020/12/16/world/europe/france-macron-right.html,https://static01.nyt.com/images/2020/12/16/world/16macron1/merlin_181113564_21146082-b0b5-40ce-94b6-a29d7258ddd5-articleLarge.jpg,2020-12-16T16:15:32+0000,"PARIS — He was the boy wonder of Western politics in 2017, soaring above outmoded cleavages between left and right. He was the whip-smart former banker who was going to turn a tradition-bound society into a start-up nation. He was the liberal bulwark against rising populism in Europe — an anti-Trump.",the-new-york-times,The New York Times
By Jacey Fortin,Former Houston Officer Investigating ‘Fraudulent’ Ballots Is Charged With Assault,"Mark A. Aguirre, a former police captain hired by a conservative group to investigate voter fraud, pointed his gun at a man and pinned him to the ground, officials said. No fake ballots were found.",https://www.nytimes.com/2020/12/16/us/houston-police-captain-mark-aguirre.html,https://static01.nyt.com/images/2020/12/16/lens/16xp-houstonofficer-ballots/merlin_179478099_948025fb-677a-4ba7-bbe7-fe8c0356bea3-articleLarge.jpg,2020-12-16T23:00:21+0000,"A former Houston police captain, who the authorities said was investigating a voter fraud conspiracy theory for a conservative activist group, was arrested and charged with pointing his gun at an air-conditioner repairman he had pursued to try to uncover fraudulent ballots, prosecutors said Tuesday.",the-new-york-times,The New York Times
By Emily Cochrane,"Staring Down Deadline, Congress Nears $900 Billion Stimulus Deal","The emerging compromise would provide emergency stimulus payments, jobless aid and rental assistance, extending help to businesses and funding the distribution of a vaccine. But more is likely to be needed.",https://www.nytimes.com/2020/12/16/us/politics/congress-stimulus-bill.html,https://static01.nyt.com/images/2020/12/16/us/politics/16dc-stimulus/merlin_181336581_99b2f699-9399-4a0f-9fad-86bf9e97f7c4-articleLarge.jpg,2020-12-16T23:45:18+0000,"WASHINGTON — After months of stalemate, congressional leaders were on the verge on Wednesday of cementing a roughly $900 billion stimulus deal to deliver emergency aid to individuals and companies devastated by the toll of the worsening pandemic, racing to finish the details and stave off a government shutdown on Friday.",the-new-york-times,The New York Times
By Rory Smith,"Liverpool Pulls in Front, but Premier League Race Has Far to Go","A lineup altered by injury, and supplemented by youth, summons the energy to beat Tottenham at Anfield.",https://www.nytimes.com/2020/12/16/sports/soccer/liverpool-tottenham.html,https://static01.nyt.com/images/2020/12/16/sports/16onsoccer-firminosub/merlin_181348827_f2a322e8-32a5-4f6c-bf8d-60c4decc7f2a-articleLarge.jpg,2020-12-16T23:22:17+0000,"LIVERPOOL, England — José Mourinho left one name off his list. The Tottenham manager had been busy using his final news conference before his team’s trip to Liverpool to indulge his taste — and his talent — for sophistry, trying to prove Jürgen Klopp’s squad was not quite as threadbare as has been advertised by reeling off names of all the players that would be available.",the-new-york-times,The New York Times
"By Jeffrey Gettleman, Suhasini Raj, Sameer Yasir and Karan Deep Singh",Trains and lockdown chaos helped spread the coronavirus across India.,"SURAT, India — The crowds surged through the gates, fought their way up the stairs of the 160-year-old station, poured across the platforms and engulfed the trains.",https://www.nytimes.com/2020/12/15/world/trains-and-lockdown-chaos-helped-spread-the-coronavirus-across-india.html,https://static01.nyt.com/images/2020/12/15/world/15virus-brief-india-trains/15virus-brief-india-trains-articleLarge.jpg,2020-12-16T10:59:22+0000,"SURAT, India — The crowds surged through the gates, fought their way up the stairs of the 160-year-old station, poured across the platforms and engulfed the trains.",the-new-york-times,The New York Times
By Trish Bendix,"Some Republicans Finally Face ‘Their Biggest Fear: Reality,’ Colbert Says",Mitch McConnell’s congratulating Joe Biden on his victory in the election was big news among late-night hosts like Stephen Colbert.,https://www.nytimes.com/2020/12/16/arts/television/late-night-election-mitch-mcconnell-joe-biden-bill-barr.html,https://static01.nyt.com/images/2020/12/16/arts/16latenight/16latenight-articleLarge.png,2020-12-16T07:26:11+0000,"Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. We’re all stuck at home at the moment, so here are the 50 best movies on Netflix right now.",the-new-york-times,The New York Times
