author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Joel Achenbach,State and local leaders order new restrictions amid autumn’s coronavirus surge,"“We’re in a bad place,” Rhode Island’s governor says. Denver’s mayor is dismayed by the lack of a national strategy.",https://www.washingtonpost.com/health/coronavirus-surge-new-restrictions/2020/10/28/b88c0dd2-1939-11eb-aeec-b93bcc29a01b_story.html,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/KMRX7FAZHUI6XPX3RBSCLG6S3A.jpg&w=1440,2020-10-29T00:53:37Z,"In Massachusetts, a spike in cases prompted Boston Public Schools to suspend in-person learning last week, and it has forced more than a dozen smaller cities and towns labeled high-risk to close busi… [+8207 chars]",the-washington-post,The Washington Post
Erik Wemple,"New York Times, CNN sullied by ‘Anonymous’ charade","It smelled bad at the time, and now we know that it was.",https://www.washingtonpost.com/opinions/2020/10/28/new-york-times-cnn-sullied-by-anonymous-charade/,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/ADBAW2AEHUI6XOJOAKLHN6PL5Q.jpg&w=1440,2020-10-29T00:14:56Z,"That last sentence is a convenient dodge. With Taylors admission, the newspapers opinion section has to answer for the disclosure it ran on his op-ed: The Times is taking the rare step of publishing … [+4926 chars]",the-washington-post,The Washington Post
Carolyn Hax,"Carolyn Hax: To summarize, you want to exclude her because she’s disabled?","Yes, a boisterous holiday might be too much for your sister-in-law, but let her decide that.",https://www.washingtonpost.com/lifestyle/advice/carolyn-hax-to-summarize-you-want-to-exclude-her-because-shes-disabled/2020/10/28/f76c61be-0ff7-11eb-b1e8-16b59b92b36d_story.html,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/WCYOAGQZP4I6XC62QFGKK3QTRM.jpg&w=1440,2020-10-29T03:59:00Z,"My husband and I are sympathetic, so we always have events with no media on in the background. We crate our dog, put away the loudest toys, serve familiar and basic foods. My husband's family is loca… [+2694 chars]",the-washington-post,The Washington Post
Sean Sullivan,Unrest in Philadelphia after police kill a Black man roils the presidential campaign,"Tensions over race, violence and law enforcement pose political challenges for Biden and Trump in a key battleground.",https://www.washingtonpost.com/politics/biden-walter-wallace-response/2020/10/28/17189d9a-194c-11eb-aeec-b93bcc29a01b_story.html,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/MVLBOUQY4QI6XC62QFGKK3QTRM.jpg&w=1440,2020-10-29T03:53:25Z,"Biden has pushed back on those attacks, saying repeatedly that he does not condone looting and has no tolerance for violence against police. He also expressed outrage at the killing of Walter Wallace… [+6441 chars]",the-washington-post,The Washington Post
Steven Goff,Revitalized D.C. United stays in mix for playoffs with third straight win,D.C. pulled into a three-way tie for the final Eastern Conference playoff berth and within two points of the next-to-last slot.,https://www.washingtonpost.com/sports/2020/10/28/dc-united-third-straight-win/,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/YFZ4XSLO4BEKNBJAFPVJG5GH5I.jpg&w=1440,2020-10-29T03:15:55Z,"Were clawing our way, were fighting our way to be in it, interim coach Chad Ashton said. Once again, [the players] left it all out there. We found a way. Thats what we said we had to do tonight, was … [+4216 chars]",the-washington-post,The Washington Post
Antonia Farzan,Live updates: Fauci expresses support for national mask mandate amid record-setting coronavirus infections - The Washington Post,"<ol><li>Live updates: Fauci expresses support for national mask mandate amid record-setting coronavirus infections  The Washington Post
</li><li>October 28 coronavirus news  CNN
</li><li>Dr. Fauci warns of a ‘whole lot of pain’ due to coronavirus pandemic i…",https://www.washingtonpost.com/nation/2020/10/29/coronavirus-covid-live-updates-us/,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/67KRRZATC4I6XISYMFFM6K4QNU.jpg&w=1440,2020-10-29T04:22:00Z,"In the springtime, school-age children across the United States lost out on sports, proms and graduations as a result of the coronavirus pandemic. Come winter, the snow day is on track to become anot… [+726 chars]",the-washington-post,The Washington Post
Joanna Slater,What the U.S. election means for India,"For India, the Trump years have offered a mixture of spectacle and substance.",https://www.washingtonpost.com/world/2020/10/29/us-election-trump-biden-india/,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/YWORJLNRG5G4ZBVXUFEGX7I7CY.jpg&w=1440,2020-10-29T04:00:00Z,"While the rallies held in Houston billed as Howdy, Modi and in Ahmedabad, which nearly filled Indias largest cricket stadium, formed the public face of the relationship, defense planners and diplomat… [+4953 chars]",the-washington-post,The Washington Post
Salvador Rizzo,Fact-checking Trump’s closing arguments on covid-19,The United States is not “rounding the turn.” Coronavirus cases are spiking across the country. But Trump keeps arguing the opposite.,https://www.washingtonpost.com/politics/2020/10/29/fact-checking-trumps-closing-arguments-covid/,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/BVNXLMQZNYI6XC62QFGKK3QTRM.jpg&w=1440,2020-10-29T07:00:29Z,"In recent interviews, Trump has responded with denials and attacks when journalists Savannah Guthrie of NBC and Lesley Stahl of CBS fact-checked his claims on camera. The president tells crowds that … [+9949 chars]",the-washington-post,The Washington Post
Tim Elfrink,Jon Ossoff attacks Sen. Perdue on pandemic: ‘You’re attacking the health of the people that you represent’ - The Washington Post,"<ol><li>Jon Ossoff attacks Sen. Perdue on pandemic: ‘You’re attacking the health of the people that you represent’  The Washington Post
</li><li>Pandemic! China! Ossoff-Perdue Senate debate twists, turns around sharp contrasts  Atlanta Journal Constitution
…",https://www.washingtonpost.com/nation/2020/10/29/ossoff-video-perdue-pandemic-georgia/,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/GY3PSHMI6JCX7ACJ254A63YRKQ.png&w=1440,2020-10-29T09:54:00Z,"In response, Ossoff unleashed on Perdue over the GOPs handling of the coronavirus pandemic, a topic the challenger spent most of the hour-long debate relentlessly hammering.
Perhaps Senator Perdue w… [+3548 chars]",the-washington-post,The Washington Post
Jaclyn Peiser,"Gov. Ron DeSantis had trouble voting. A 20-year-old Florida man is to blame, police say. - The Washington Post","<ol><li>Gov. Ron DeSantis had trouble voting. A 20-year-old Florida man is to blame, police say.  The Washington Post
</li><li>Florida Man Anthony Guevara Accused Of Changing Voter Registration Information For Gov. Ron DeSantis  CBS Miami
</li><li>Florida G…",https://www.washingtonpost.com/nation/2020/10/29/florida-man-desantis-voting-address/,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/N3PTQNQIM4I6XBYZBXYVTUKHSQ.jpg&w=1440,2020-10-29T09:41:00Z,"State investigators soon picked up the case and learned the issue was not a simple computer error, according to court documents. Rather, they said, a man in Naples, Fla., had illegally used the state… [+2957 chars]",the-washington-post,The Washington Post
